
 

 ************************************************
 *                 JEDI ANALYSIS                *
 *       Judgement of Energy DIstribution       *
 ************************************************

                   Strain Energy (kcal/mol)  Deviation (%)
      Geometries     0.60568093                  -
 Red. Int. Modes      0.67725170                11.82

 RIM No.       RIM type                       indices        delta_q (au) Percentage    Energy (kcal/mol)
   110       dihedral                      N6 C7 N8 C9        0.0000021      0.0        0.0000000
   111       dihedral                     N6 C7 N8 H13        0.0000062      0.0        0.0000000
   112       dihedral                     N11 C7 N8 C9       -0.0000053      0.0        0.0000000
   113       dihedral                    N11 C7 N8 H13       -0.0000012      0.0        0.0000000
   114       dihedral                    N6 C7 N11 H14        0.0000008     -0.0       -0.0000000
   115       dihedral                    N6 C7 N11 H15       -0.0000060      0.0        0.0000000
   116       dihedral                    N8 C7 N11 H14        0.0000079      0.0        0.0000000
   117       dihedral                    N8 C7 N11 H15        0.0000011      0.0        0.0000000
   118       dihedral                      C7 N8 C9 C2       -0.0000064      0.0        0.0000000
   119       dihedral                     C7 N8 C9 O10        0.0000002      0.0        0.0000000
   120       dihedral                     H13 N8 C9 C2       -0.0000104      0.0        0.0000000
   121       dihedral                    H13 N8 C9 O10       -0.0000038     -0.0       -0.0000000
   122       dihedral                    C7 N8 H13 N21        0.0001806      0.0        0.0000000
   123       dihedral                    C9 N8 H13 N21        0.0001844      0.0        0.0000000
   124       dihedral                    C2 C9 O10 H27        0.0000256      0.0        0.0000000
   125       dihedral                    N8 C9 O10 H27        0.0000179     -0.0       -0.0000000
   126       dihedral                   C7 N11 H15 O20        0.0004461      0.0        0.0000000
   127       dihedral                  H14 N11 H15 O20        0.0004390     -0.0       -0.0000000
   128       dihedral                  C22 C16 C17 N18        0.0000094      0.0        0.0000000
   129       dihedral                  C22 C16 C17 H26       -0.0000053      0.0        0.0000000
   130       dihedral                  H25 C16 C17 N18        0.0000189      0.0        0.0000000
   131       dihedral                  H25 C16 C17 H26        0.0000041      0.0        0.0000000
   132       dihedral                  C17 C16 C22 N21       -0.0000053      0.0        0.0000000
   133       dihedral                  C17 C16 C22 N23        0.0000062      0.0        0.0000000
   134       dihedral                  H25 C16 C22 N21       -0.0000148      0.0        0.0000000
   135       dihedral                  H25 C16 C22 N23       -0.0000032     -0.0       -0.0000000
   136       dihedral                  C16 C17 N18 C19       -0.0000081      0.0        0.0000000
   137       dihedral                  C16 C17 N18 H24       -0.0000089      0.0        0.0000000
   138       dihedral                  H26 C17 N18 C19        0.0000058      0.0        0.0000000
   139       dihedral                  H26 C17 N18 H24        0.0000050      0.0        0.0000000
   140       dihedral                  C17 N18 C19 O20       -0.0000026     -0.0       -0.0000000
   141       dihedral                  C17 N18 C19 N21        0.0000021      0.0        0.0000000
   142       dihedral                  H24 N18 C19 O20       -0.0000019      0.0        0.0000000
   143       dihedral                  H24 N18 C19 N21        0.0000029      0.0        0.0000000
   144       dihedral                  N18 C19 O20 H15        0.0000011     -0.0       -0.0000000
   145       dihedral                  N21 C19 O20 H15       -0.0000041      0.0        0.0000000
   146       dihedral                  N18 C19 N21 C22        0.0000021      0.0        0.0000000
   147       dihedral                  N18 C19 N21 H13        0.0000077      0.0        0.0000000
   148       dihedral                  O20 C19 N21 C22        0.0000072      0.0        0.0000000
   149       dihedral                  O20 C19 N21 H13        0.0000128      0.0        0.0000000
   150       dihedral                  C19 N21 C22 C16       -0.0000005      0.0        0.0000000
   151       dihedral                  C19 N21 C22 N23       -0.0000116      0.0        0.0000000
   152       dihedral                  H13 N21 C22 C16       -0.0000064     -0.0       -0.0000000
   153       dihedral                  H13 N21 C22 N23       -0.0000175      0.0        0.0000000
   154       dihedral                  C16 C22 N23 H27        0.0000131      0.0        0.0000000
   155       dihedral                  C16 C22 N23 H28       -0.0000021      0.0        0.0000000
   156       dihedral                  N21 C22 N23 H27        0.0000243      0.0        0.0000000
   157       dihedral                  N21 C22 N23 H28        0.0000091      0.0        0.0000000
   158       dihedral                  C22 N23 H27 O10       -0.0005362      0.0        0.0000000
   159       dihedral                  H28 N23 H27 O10       -0.0005211      0.0        0.0000000
   160       dihedral                   N8 H13 N21 C19       -0.0001915     -0.0       -0.0000000
   161       dihedral                   N8 H13 N21 C22       -0.0001859     -0.0       -0.0000000
   162       dihedral                  N11 H15 O20 C19       -0.0004505     -0.0       -0.0000000
   163       dihedral                   C9 O10 H27 N23        0.0005013     -0.0       -0.0000000
"You've failed, your highness. I am a Jedi, as my father was before me." "...So be it, Jedi." (Luke Skywalker and Emperor Palpatine)


Creating tcl scripts for generating color-coded structures in VMD...

Processing bond lengths...
Maximum energy in a bond length:       36.12%
Total energy in the bond lengths:     100.24%

Processing bond angles...
Maximum energy in a bond angle:         0.01%
Total energy in the bond angles:       -0.24%

Processing dihedral angles...
Maximum energy in a dihedral angle:     0.00%
Total energy in the dihedral angles:    0.00%

Adding all energies for the stretch, bending and torsion of the bond with maximum strain...
Maximum energy in bond between atoms 13 and 21: 0.245 kcal/mol.

Total energy custom bonds: 0.7058165532604435 kcal/mol
